mot,nom,count,occ_mot,occ_nom,p_nom_si_mot,p_mot_si_nom,pmi
port,Louis,256,15903,106741,0.016097591649374333,0.002398328664711779,0.601539986751055
rivière,Nord,256,4363,62683,0.05867522347008939,0.0040840419252428884,3.235414852950552
compagnie,Paul,256,41266,131300,0.006203654340134736,0.0019497334348819498,-1.0728671523494806
travaux publics,Yves,255,50480,4528,0.005051505546751189,0.05631625441696113,3.488577123688191
chenal,Chanoz,253,1782,3466,0.1419753086419753,0.07299480669359493,8.686962233543346
chenal,Colliard,253,1782,6810,0.1419753086419753,0.037151248164464024,7.712579089804081
prix,Francisque,253,56952,1291,0.004442337406939177,0.1959721146398141,5.113567623003142
charge,Esprit,253,21218,30501,0.011923838250541993,0.008294810006229303,1.9757298169326933
prix,Frédéric,253,56952,12111,0.004442337406939177,0.02089009990917348,1.8838105361086663
travaux publics,Barthe,253,50480,13088,0.00501188589540412,0.019330684596577018,1.9459184714137767
prix,Bois,252,56952,13344,0.004424778761061947,0.018884892086330936,1.7382236836712752
rivière,Andrieux,251,4363,7174,0.0575292230116892,0.034987454697518815,6.334182985147875
eau,Louis,250,14658,106741,0.017055532814845134,0.002342117836632597,0.6849349484186588
ligne,Louis,248,24938,106741,0.009944662763653862,0.002323380893939536,-0.09331052367894904
frais,Loyer,246,37259,7012,0.0066024316272578435,0.035082715345122646,3.243909110475094
exploitation,Sens,246,23160,30617,0.010621761658031088,0.008034751935199399,1.8034277848371523
chenal,Chéron,244,1782,4137,0.13692480359147025,0.05897993715252599,8.379392693336955
chenal,Buisson,244,1782,7180,0.13692480359147025,0.033983286908077996,7.5839938068616775
eaux,Nord,244,11255,62683,0.02167925366503776,0.0038926024599971283,1.79897851254842
rivière,Roy,243,4363,12866,0.05569562227824891,0.018886988963158713,5.444737991413769
prix,Siegfried,242,56952,9952,0.004249192302289647,0.024316720257234727,2.1029398007600144
compagnie,Trouvé,242,41266,13717,0.005864391993408618,0.01764234161988773,2.104826107125758
exploitation,Rendu,242,23160,23037,0.010449050086355785,0.010504840039935756,2.1901565907471694
chenal,Benoist,242,1782,11359,0.13580246913580246,0.021304692314464302,6.91033962428467
rivière,Passy,242,4363,10429,0.05546642218656887,0.023204525841403777,5.7417514893256545
prix,Reymond,242,56952,1331,0.004249192302289647,0.18181818181818182,5.005415714978725
prix,Préveraud,241,56952,1492,0.004231633656412418,0.16152815013404825,4.8347048495907465
prix,Viette,241,56952,3666,0.004231633656412418,0.0657392253136934,3.5377455993060987
rivière,Turquet,240,4363,1592,0.0550080220032088,0.1507537688442211,8.441467436219497
prix,Turigny,239,56952,5483,0.0041965163646579574,0.043589275943826375,2.944964383299972
rivière,Francisque,239,4363,1291,0.05477882191152877,0.18512780790085206,8.737794983828184
prix,Vignancour,239,56952,1411,0.0041965163646579574,0.1693834160170092,4.903211868999507
prix,Million,238,56952,11828,0.004178957718780727,0.02012174501183632,1.8297465688036418
eau,Jules,236,14658,116598,0.01610042297721381,0.0020240484399389356,0.4743651031971568
rivière,Reille,236,4363,14889,0.054091221636488655,0.015850627980388207,5.191885270498192
rivière,Rauline,235,4363,7419,0.05386202154480862,0.03167542795525003,6.190709382608532
rivière,Ribot,235,4363,13762,0.05386202154480862,0.017076006394419415,5.299315879321441
prix,Aristide,235,56952,13283,0.004126281781149038,0.017691786494014906,1.6440708807290212
marché,Sens,235,18427,30617,0.01275302545178271,0.007675474409641702,2.067244266664495
rivière,Maurice,235,4363,60025,0.05386202154480862,0.0039150354019158685,3.174442529714485
chenal,Dansette,234,1782,5727,0.13131313131313133,0.040859088528025146,7.849825429467516
prix,Roy,233,56952,12866,0.004091164489394578,0.018109746618995802,1.6777575049236642
travaux publics,Trouvé,233,50480,13717,0.004615689381933439,0.016986221476999346,1.7593907058485283
chenal,Denys,233,1782,7807,0.1307519640852974,0.029845010887664915,7.39665818832735
prix,André,233,56952,37455,0.004091164489394578,0.006220798291282872,0.13616277673357216
chenal,Chambrun,233,1782,5003,0.1307519640852974,0.04657205676594044,8.038633005670782
chenal,Adrien,233,1782,24126,0.1307519640852974,0.009657630771781481,5.768909621141969
rivière,André,232,4363,37455,0.053174421269768506,0.006194099586170071,3.8363117547454686
levée,Louis,232,5853,106741,0.039637792584999144,0.0021734853523950495,1.9015717445423737
compagnie,Jules,231,41266,116598,0.005597828720980953,0.0019811660577368395,-1.0497942369732098
